154244676281619154942,6901028317122,玉溪包装,1,22,22,20.14,21,8
15424467498867961303,99999999-1,无码商品,1,3,3,0,1,0
15424467498867961303,6936378310073,食用槟榔老湘潭15元（红色）,1,14,14,12,1,7
31315424468204682,6941068368463,七度柔爽排湿柔网带护翼迷你巾,1,8,8,0,1,0
31315424468204682,6903148091036,护舒宝超值干爽贴身日用卫生巾10片,1,8,8,4.23,1,8
31315424468204682,6924757020132,小妮丝薄网面日夜组合周期装28片,1,18,18,0,1,0
31315424468204682,6924757030155,小妮丝悦特薄丝薄棉柔日/夜组合装24片,1,17,17,0,1,0
154244676370018665647,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
154244676647418157847,6901028193498,芙蓉王包装,2,25,25,21.83,1,8
15424467810283898235,0012,富龙水,1,10,10,5,1,14
154244676680618669760,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
15424466452954997478,6920202888883,红牛维生素功能饮料,1,6,6,0,1,0
15424466452954997478,6907878033014,可口可乐 330ml,1,2.5,2.5,0,1,0
15424466452954997478,6932430200115,四洲热浪香辣味薯片50g,1,7,7,0,1,0
15424467720108253615,6923644268930,真果粒芦荟味,1,39,39,0,1,0
154244676686222736789,6940920500126,王子山渣片,1,5,5,0,1,4
154244676980118662263,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
154244677280916586258,6901028191043,白沙品包装,1,9,9,7.63,1,8
154244677341818835318,6901028193498,芙蓉王包装,1,25,25,21.83,21,8
154244671292018952949,99999999-1,无码商品,1,560,560,0,1,0
154244677271118662537,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
15424467730529499682,6921956645029,亨氏番茄酱120克,2,5,5,1,1,4
15424467730529499682,6908332890778,索芙特玫瑰香薰香浴露,1,25,25,13.5,1,0
15424467730529499682,6902890229360,65克王中王,1,2,2,1,1,4
15424467730529499682,6953799800679,2片百洁布,1,3,3,1,1,4
15424467730529499682,6922868281145,心心相印婴儿专用卫生纸,1,16,16,0,1,8
15424467730529499682,6911316380271,至纯牛奶软糖莓酸奶味,1,5,5,0,1,0
15424467730529499682,4607109843543,俄罗斯KDV巧克力夹心糖,1,26,26,1,1,4
15424467730529499682,6936641800522,干鞋器,1,12,12,8.5,9,4
15424467730529499682,6902890234180,双汇台式烤香肠48g,1,2,2,1.75,1,13
15424467730529499682,8993175537391,丽芝士纳宝帝奶酪威化饼干200g,1,12,12,1,1,4
154244677557518662553,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
154244677823112307152,6901028191043,白沙精品包装,1,10,10,7.63,21,8
15424467782315078305,6937221706739,贤哥南乳牛肉味125g,1,5,5,0,1,8
15424467782315078305,6924187839212,洽洽喀吱脆薯片板烧烤味35g,1,2,2,0,1,8
15424467782315078305,6970405270022,烧饼(香芋味）,1,6,6,0,1,8
15424467782315078305,6953637516182,爱宏冠大福饼蛋奶味200g,1,5,5,0,10,8
15424467772386901392,6925629987201,上珍果九制话梅118g,1,5.5,5.5,3.9,1,8
15424467772386901392,6933066000247,乖媳妇山椒凤爪70g,1,3.5,3.5,2.1,1,7
15424467772386901392,6924746222110,南北特鱼豆腐香辣味100g,1,6,6,4.5,1,8
15424467772386901392,6934728100398,福太子山椒跳跳鱼,1,4.5,4.5,3.6,1,4
15424467772386901392,6940391700964,味无双大牛板筋160g,1,3.5,3.5,2.8,1,8
154244677807210118817,6925490400274,龙花135克咸干,1,3,3,2.5,1,4
154244677807210118817,6970362690000,糯米锅巴,1,3,3,1.8,1,4
15424467975923892708,6907878050110,可口可乐 500ml,1,3,3,2.17,1,2
154244678053718661241,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
154244679341313093885,6938888889827,香飘飘MeCo蜜谷新派茶饮泰式青柠茶,1,6,6,0,1,2
154244679341313093885,6948930800106,周氏香油杀,1,2.5,2.5,1.5,1,8
154244679341313093885,6935284499995,卫龙新大面筋辣味16g,1,2.5,2.5,1.9,1,8
154244679341313093885,6920907809862,好丽友薯愿香烤原味04g,1,8,8,0,1,6
154244678484419467272,99999999-1,无码商品,1,4,4,0,1,0
154244678159023148576,6928804011128,300ml可口可乐,1,2,2,0,1,0
154244678159023148576,6901028193498,芙蓉王包装,1,25,25,22.6,21,8
154244678400018667325,6925909960085,张新发门店木糖醇槟榔25g,1,15,15,0,10,8
154244678546222484251,6943724227909,放马鞭一斤裸瓶苦荞酒,1,22,22,15,1,2
154244678546222484251,6901028191043,白沙品包装,1,10,10,7.63,21,8
15424467866527126949,6901028191012,白沙(软),1,6,6,0,1,8
15424467922976683994,6901668062499,卡夫趣多多缤纷豆85g,1,5.5,5.5,0,1,8
15424467922976683994,6959283600107,玖玖乡桂花味糕,1,4.5,4.5,3.5,1,4
154244679476919159640,6901028111263,南京赫门包装,1,17,17,14.31,21,8
154244679464717539815,4891132011103,软南洋,2,5,5,0,1,3
154244679638618663806,6925909980151,张新发槟榔5g,1,20,20,15.58,1,8
154244679909917654702,6901028191012,白沙包装,1,6.5,6.5,3.81,1,8
15424467988728397604,6909131181234,中国劲酒35度58ml,1,23,23,0,1,2
15424467988728397604,6906151600462,牛栏山陈酿白酒500ml,1,15,15,12.08,1,2
15424467988728397604,6948195800446,金龙鱼食用调和油900ml,1,15,15,0,1,2
154244678874122802247,6901028055024,红河甲包装,1,5.5,5.5,0,1,0
154244679929218668402,6925909980151,张新发槟榔5g,1,20,20,15.58,1,8
154244680508314282654,6932808700100,消毒液,2,2,2,1.5,1,4
15424468465424109178,6918087101029,奇脆冰雪糕(香草味+芒果味),1,7,7,0,1,0
15424468465424109178,6937761805152,宝矿力 900ml,1,8,8,0,1,2
15424468465424109178,6925303770563,统一汤达人日式豚骨拉面78g,1,6,6,0,1,0
154244680237317773677,6934665087653,优益C活菌型乳酸菌饮品原味340ml,2,6,6,4.5,1,2
154244680237317773677,6934660522258,苏菲弹力贴身,1,9,9,7.29,9,8
154244680237317773677,6924743915763,乐事无限忠于原味104g,1,8,8,0,1,0
154244680222318664727,6925909980151,张新发槟榔5g,1,20,20,15.58,1,8
