666,小碗熊,,,,,,0.0000,0.0000,2022-09-18 12:07:12,None,None,None,None
1,大米,,默认,,默认,,1,10,2017-07-10 19:09:09,None,None,None,None
2,虾米,,默认,,默认,,1,12,2017-07-10 19:09:09,None,None,None,None
3,未知商品,,默认,,默认,,1,6,2017-07-10 19:09:09,None,None,None,None
4,手纸,,默认,,默认,,1,1,2017-07-10 19:09:09,None,None,None,None
5,火腿肠,,默认,,默认,,1,5,2017-07-10 19:09:09,None,None,None,None
10,十,,默认,,默认,,1,10,2017-07-10 19:09:09,None,None,None,None
11,茶叶蛋,,默认,,默认,,1,1.5,2017-07-10 19:09:09,None,None,None,None
12,小鹏,,默认,,默认,,1,4,2017-07-10 19:09:09,None,None,None,None
13,酱肉包,,默认,,默认,,1,3.5,2017-07-10 19:09:09,None,None,None,None
14,白菜肉包,,默认,,默认,,1,2.5,2017-07-10 19:09:09,None,None,None,None
15,豆沙包,,默认,,默认,,1,2,2017-07-10 19:09:09,None,None,None,None
16,原味豆浆,,默认,,默认,,1,3,2017-07-10 19:09:09,None,None,None,None
17,豆浆,,默认,,默认,,1,4,2017-07-10 19:09:09,None,None,None,None
18,无条码商品,,默认,,默认,,1,18,2017-07-10 19:09:09,None,None,None,None
19,瓜子,,默认,,默认,,1,5,2017-07-10 19:09:09,None,None,None,None
120,无条码商品,,,,默认,,1,10,2017-07-10 19:09:09,None,None,None,None
121,1,,默认,,默认,,1,8,2017-07-10 19:09:09,None,None,None,None
123,缠绕膜,,默认,,默认,,1,0,2017-07-10 19:09:09,None,None,None,None
1201,lc1201,,爱鲜蜂,,,,1,2,2017-07-10 19:09:09,None,None,None,None
1202,lc1202,,爱鲜蜂,,,,1,30,2017-07-10 19:09:09,None,None,None,None
1203,lc1203,,默认,,默认,,1,12,2017-07-10 19:09:09,None,None,None,None
1204,lc1204,,默认,,默认,,1,76.46,2017-07-10 19:09:09,None,None,None,None
1258,cs,,爱鲜蜂,,,,1,60,2017-07-10 19:09:09,None,None,None,None
1401,lc1401,,爱鲜蜂,,,,1,3,2017-07-10 19:09:09,None,None,None,None
1403,lc1403,,爱鲜蜂,,,,1,2.6,2017-07-10 19:09:09,None,None,None,None
1404,lc1404,,默认,,默认,,1,3.87,2017-07-10 19:09:09,None,None,None,None
1405,lc1405,,默认,,默认,,1,78,2017-07-10 19:09:09,None,None,None,None
2112,未知商品7421,,默认,,默认,,1,2,2017-07-10 19:09:09,None,None,None,None
2113,2113是,,爱鲜蜂,,默认,,1,10,2017-07-10 19:09:09,None,None,None,None
2114,未知商品2114,,默认,,默认,,1,8,2017-07-10 19:09:09,None,None,None,None
2118,2118是,,爱鲜蜂,,,,1,10,2017-07-10 19:09:09,None,None,None,None
2520,huge,,,,,,1,25,2017-07-10 19:09:09,None,None,None,None
12580,cs,,,,,,1,2,2017-07-10 19:09:09,None,None,None,None
22019,测试,,默认,,默认,,1,10,2017-07-10 19:09:09,None,None,None,None
33001,lb033001,,默认,,默认,,1,50,2017-07-10 19:09:09,None,None,None,None
33002,lb033002,,默认,,默认,,1,80,2017-07-10 19:09:09,None,None,None,None
